epoch,loss
0,4.7523322441082625
1,4.7123434641312905
2,4.7066261245405
3,4.70618675994746
4,4.705411954996019
5,4.706222572266843
6,4.705382202410829
7,4.70490973020445
8,4.706121000388197
9,4.705825812464445
10,4.706163606557293
11,4.7071755205379615
12,4.707143319104865
13,4.707330539724155
14,4.708048902075136
15,4.708717769126759
16,4.711135282173453
17,4.71351892333234
18,4.715730698810391
19,4.712365725476655
20,4.711751224770055
21,4.712473087354901
22,4.715000781347605
23,4.714493375224109
24,4.71720882794354
25,4.725780815266735
26,4.721450257790473
27,4.726708615095837
28,4.733539243994831
29,4.747978270483064
30,4.7707754695252795
31,4.7968223385710855
32,4.817388388780446
33,4.826724960372195
34,4.828017610836679
35,4.834578739380597
36,4.844942995642142
37,4.844521956718893
